,candidate_name,party,vote_count,pct,state,office,district
0,Katie Britt,Republican,942154,0.666,Alabama,senate,
1,Will Boyd,Democrat,436746,0.309,Alabama,senate,
2,John Sophocleus,Libertarian,32879,0.023,Alabama,senate,
3,Lisa Murkowski*,Republican,136330,0.537,Alaska,senate,
4,Kelly Tshibaka,Republican,117534,0.463,Alaska,senate,
5,Patricia Chesbro,Democrat,0,0,Alaska,senate,
6,Buzz Kelley,Republican,0,0,Alaska,senate,
7,Mark Kelly*,Democrat,1322027,0.514,Arizona,senate,
8,Blake Masters,Republican,1196308,0.465,Arizona,senate,
9,Marc Victor,Libertarian,53762,0.021,Arizona,senate,
10,John Boozman*,Republican,592437.0,0.657,Arkansas,senate,
11,Natalie James,Democrat,280187.0,0.311,Arkansas,senate,
12,Kenneth Cates,Libertarian,28682.0,0.032,Arkansas,senate,
13,Alex Padilla*,Democrat,6559303,0.609,California,senate,
14,Mark Meuser,Republican,4212446,0.391,California,senate,
15,Michael Bennet*,Democrat,1397170,0.559,Colorado,senate,
16,Joe O'Dea,Republican,1031693,0.413,Colorado,senate,
17,Brian Peotter,Libertarian,43534,0.017,Colorado,senate,
18,T.J. Cole,Unity,16379,0.007,Colorado,senate,
19,Frank Atwood,Approval Voting,11354,0.005,Colorado,senate,
20,Richard Blumenthal*,Democrat,723864,0.575,Connecticut,senate,
21,Leora Levy,Republican,535943,0.425,Connecticut,senate,
22,Marco Rubio*,Republican,4474847,0.577,Florida,senate,
23,Val Demings,Democrat,3201522,0.413,Florida,senate,
24,Dennis Misigoy,Libertarian,32177,0.004,Florida,senate,
25,Steven Grant,No Party Affiliation,31816,0.004,Florida,senate,
26,Tuan Nguyen,No Party Affiliation,17385,0.002,Florida,senate,
27,Raphael Warnock*,Democrat,1946117,0.494,Georgia,senate,
28,Herschel Walker,Republican,1908442,0.485,Georgia,senate,
29,Chase Oliver,Libertarian,81365,0.021,Georgia,senate,
30,Brian Schatz*,Democrat,290894,0.712,Hawaii,senate,
31,Bob McDermott,Republican,106358,0.26,Hawaii,senate,
32,Feena Bonoan,Libertarian,4915,0.012,Hawaii,senate,
33,Emma Pohlman,Green,4142,0.01,Hawaii,senate,
34,Dan Decker,Aloha Aina,2208,0.005,Hawaii,senate,
35,Mike Crapo*,Republican,358539,0.607,Idaho,senate,
36,David Roth,Democrat,169808,0.287,Idaho,senate,
37,Scott Cleveland,Independent,49917,0.084,Idaho,senate,
38,Ray Writz,Constitution,8500,0.014,Idaho,senate,
39,Idaho Sierra Law,Libertarian,4126,0.007,Idaho,senate,
40,Tammy Duckworth*,Democrat,2272918,0.564,Illinois,senate,
41,Kathy Salvi,Republican,1688353,0.419,Illinois,senate,
