,Name,Campaign Twitter,Personal Twitter,Official Twitter
0,Yolanda Flowers,https://www.twitter.com/Yolandaforgov,NaN,NaN
1,Patricia Jamieson,NaN,NaN,NaN
2,Arthur Kennedy,NaN,NaN,NaN
3,Chad Chig Martin,https://www.twitter.com/Chig4Gov,https://www.twitter.com/chadchig,NaN
4,Malika Sanders-Fortier,NaN,NaN,NaN
5,Doug Smith,NaN,https://www.twitter.com/sdoug_smith,NaN
6,Lynda Blanchard,https://www.twitter.com/Blanchard4Gov,NaN,NaN
7,Lew Burdette,https://www.twitter.com/VoteLEWin22,NaN,NaN
8,Stacy George,https://www.twitter.com/georgestacylee,NaN,NaN
9,Kay Ivey,https://www.twitter.com/kayiveyforgov,NaN,https://www.twitter.com/GovernorKayIvey
10,Tim James,https://www.twitter.com/TimJamesGov,NaN,NaN
11,Donald Jones,NaN,NaN,NaN
12,Dean Odle,https://www.twitter.com/PastorDean67,NaN,NaN
13,Dave Thomas,NaN,NaN,NaN
14,Dean Young,NaN,NaN,NaN
15,Jared Budlong,https://www.twitter.com/JaredForALGov,https://www.twitter.com/Budlow,NaN
16,James Blake,NaN,NaN,NaN
17,Les Gara,https://www.twitter.com/Gara_4_Governor,NaN,NaN
18,Mike Dunleavy,https://www.twitter.com/MikeDunleavyGov,NaN,NaN
19,David Haeg,NaN,NaN,https://www.twitter.com/GovDunleavy
20,Christopher Kurka,NaN,NaN,NaN
21,Charlie Pierce,NaN,NaN,NaN
22,Bruce Walden,https://www.twitter.com/BruceWalden16,NaN,NaN
23,William Nemec II,NaN,NaN,NaN
24,Bill Walker,NaN,https://www.twitter.com/billwalkerak,NaN
25,John Howe,NaN,NaN,NaN
26,William Toien,https://www.twitter.com/BillyToien,NaN,NaN
27,Katie Hobbs,https://www.twitter.com/katiehobbs,NaN,NaN
28,Aaron Lieberman,https://www.twitter.com/aaron4az,NaN,NaN
29,Marco Lopez,https://www.twitter.com/1marcolopez,NaN,https://www.twitter.com/SecretaryHobbs
30,Steph Denny,NaN,NaN,NaN
31,Patrick Finerd,NaN,https://www.twitter.com/PatrickFinerd,NaN
32,Kari Lake,https://www.twitter.com/KariLake,NaN,NaN
33,Scott Neely,https://www.twitter.com/ScottNeelyAZ,NaN,NaN
34,Alice Novoa,NaN,NaN,NaN
35,Carlos Roldan,NaN,NaN,NaN
36,Matt Salmon,https://www.twitter.com/MattSalmonAZ,NaN,NaN
37,Alex Schatz,NaN,NaN,NaN
38,Karrin Taylor Robson,https://www.twitter.com/Karrin4Arizona,https://www.twitter.com/KTaylorRobson,NaN
39,Paola Tulliani-Zen,https://www.twitter.com/ZforArizona,NaN,NaN
40,Anthony Camboni,NaN,NaN,NaN
41,Rayshawn Merrill,NaN,NaN,NaN
42,Barry J. Hess,NaN,NaN,NaN
43,Mikaela Lutes-Burton,https://www.twitter.com/mikaelaforAZ,NaN,NaN
44,William Pounds,https://www.twitter.com/wjpounds,NaN,NaN
45,Liana West,https://www.twitter.com/LWest4Az,NaN,NaN
46,Anthony Bland,https://www.twitter.com/BlandArk,NaN,NaN
47,Chris Jones,https://www.twitter.com/JonesforAR,https://www.twitter.com/cmjones99,NaN
48,Jay Martin,https://www.twitter.com/JayMartinforAR,NaN,NaN
49,James Russell,https://www.twitter.com/Vote4Rus2022,NaN,NaN
50,Supha Xayprasith-Mays,https://www.twitter.com/XSupha,NaN,NaN
51,Sarah Huckabee Sanders,https://www.twitter.com/SarahHuckabee,NaN,NaN
52,Doc Washburn,https://www.twitter.com/DocWashburn,NaN,NaN
53,Dan Nelson,https://www.twitter.com/DANFORGOVERNOR,NaN,NaN
54,Elvis Presley,NaN,NaN,NaN
55,Jason Tate,NaN,NaN,NaN
56,Michael Woodard,NaN,NaN,NaN
57,Ricky Dale Harrington Jr.,https://www.twitter.com/RickDHarrington,NaN,NaN
58,Anthony Fanara,https://www.twitter.com/tonyhandlesit,NaN,NaN
59,Gavin Newsom,https://www.twitter.com/GavinNewsom,NaN,NaN
60,Armando Perez-Serrato,NaN,NaN,NaN
61,Joel Ventresca,NaN,NaN,NaN
62,Ronald Anderson,NaN,NaN,NaN
63,Gurinder Bhangoo,NaN,NaN,NaN
64,Shawn Collins,NaN,NaN,NaN
65,Brian Dahle,NaN,NaN,NaN
66,Ron Jones,NaN,NaN,NaN
67,Jenny Rae Le Roux,NaN,NaN,NaN
68,David Lozano,https://www.twitter.com/lozanoforgovca,NaN,NaN
69,Daniel Mercuri,https://www.twitter.com/Dan_Mercuri,NaN,NaN
70,Cristian Morales,https://www.twitter.com/CMoralesCaGov,NaN,NaN
71,Robert Newman,NaN,NaN,NaN
