,candidate_name,party,vote_count,pct,state,office_x,district,incumbent_from_results,last_name_x,Ballotpedia Page,State,District,Campaign Twitter,Official Twitter,Personal Twitter,Party,Incumbent?,Percent of Votes,office_y,Campaign Twitter_handle,Official Twitter_handle,Personal Twitter_handle,last_name_y,_m_full,_m_last,no_twitter
0,Aaron Bashir,Republican,45454.0,0.243,Pennsylvania,house,2,False,Bashir,https://ballotpedia.org/Aaron_Bashir,Pennsylvania,2.0,https://www.twitter.com/aaron_bashir,,,Republican Party,False,0.278,house,@aaron_bashir,,,Bashir,both,,
1,Aaron Bean,Republican,165696.0,0.605,Florida,house,4,False,Bean,https://ballotpedia.org/Aaron_Bean,Florida,4.0,,https://www.twitter.com/AaronPBean,,Republican Party,False,0.605,house,,@AaronPBean,,Bean,both,,
2,Aaron Heineman,Independent American,4035.0,0.014,Utah,house,3,False,Heineman,https://ballotpedia.org/Aaron_Heineman,Utah,3.0,,,,Independent American Party of Utah,False,0.013,house,,,,Heineman,both,,
5,Abigail Spanberger,Democrat,143357.0,0.522,Virginia,house,7,True,Spanberger,https://ballotpedia.org/Abigail_Spanberger,Virginia,7.0,https://www.twitter.com/SpanbergerVA07,https://www.twitter.com/RepSpanberger,,Democratic Party,True,0.52,house,@SpanbergerVA07,@RepSpanberger,,Spanberger,both,,
7,Adam Frisch,Democrat,163298.0,0.499,Colorado,house,3,False,Frisch,https://ballotpedia.org/Adam_Frisch,Colorado,3.0,https://www.twitter.com/AdamForColorado,,,Democratic Party,False,0.499,house,@AdamForColorado,,,Frisch,both,,
8,Adam Gray,Democrat,66496.0,0.498,California,house,13,False,Gray,https://ballotpedia.org/Adam_Gray,California,13.0,,https://www.twitter.com/AdamGrayCA,,Democratic Party,False,0.498,house,,@AdamGrayCA,,Gray,both,,
10,Adam Laxalt,Republican,490388.0,0.48,Nevada,senate,,False,Laxalt,,,,https://www.twitter.com/AdamLaxalt,,,,,,senate,@AdamLaxalt,,,Laxalt,both,,
11,Adam Martin,Democrat,80974.0,0.347,Oklahoma,house,1,False,Martin,https://ballotpedia.org/Adam_Martin_(Oklahoma),Oklahoma,1.0,https://www.twitter.com/AdamMartin4OK,,,Democratic Party,False,0.347,house,@AdamMartin4OK,,,Martin,both,,
14,Adam Schiff,Democrat,150100.0,0.711,California,house,30,True,Schiff,https://ballotpedia.org/Adam_Schiff,California,30.0,https://www.twitter.com/AdamSchiff,https://www.twitter.com/RepAdamSchiff,,Democratic Party,True,0.721,house,@AdamSchiff,@RepAdamSchiff,,Schiff,both,,
16,Adrian Smith,Republican,172700.0,0.783,Nebraska,house,3,True,Smith,https://ballotpedia.org/Adrian_Smith_(Nebraska),Nebraska,3.0,,https://www.twitter.com/RepAdrianSmith,,Republican Party,True,0.779,house,,@RepAdrianSmith,,Smith,both,,
