,Name,Campaign Twitter,Personal Twitter,Official Twitter
0,Will Boyd,https://www.twitter.com/willboydforAL,https://www.twitter.com/drwillboyd,NaN
1,Katie Britt,https://www.twitter.com/KatieBrittforAL,https://www.twitter.com/KatieBoydBritt,NaN
2,John Sophocleus,NaN,NaN,NaN
3,Patricia Chesbro,https://www.twitter.com/ChooseChesbro,NaN,NaN
4,Buzz Kelley,NaN,NaN,NaN
5,Lisa Murkowski,https://www.twitter.com/LisaForSenate,NaN,https://www.twitter.com/lisamurkowski
6,Kelly Tshibaka,https://www.twitter.com/KellyforAlaska,NaN,NaN
7,Joe Stephens,NaN,NaN,NaN
8,Ted Gianoutsos,NaN,NaN,NaN
9,(Nonpartisan),NaN,NaN,NaN
10,Shoshana Gungurstein,NaN,NaN,NaN
11,(Nonpartisan),NaN,NaN,NaN
12,Sid Hill,NaN,https://www.twitter.com/TheDeprogrammer,NaN
13,(Nonpartisan),NaN,NaN,NaN
14,Joe Stephens,NaN,NaN,NaN
15,(Nonpartisan),NaN,NaN,NaN
16,Mark Kelly,https://www.twitter.com/CaptMarkKelly,NaN,https://www.twitter.com/SenMarkKelly
17,Edward Davida,NaN,https://www.twitter.com/davida_edward,NaN
18,Blake Masters,https://www.twitter.com/bgmasters,NaN,NaN
19,Lester Ralph Maul Jr.,NaN,NaN,NaN
20,Marc Victor,NaN,NaN,NaN
21,Natalie James,https://www.twitter.com/Jamesforar,NaN,NaN
22,John Boozman,https://www.twitter.com/Boozman4AR,NaN,https://www.twitter.com/JohnBoozman
23,Richard Gant,NaN,NaN,NaN
24,James Garner,NaN,NaN,NaN
25,Kenneth Cates,NaN,https://www.twitter.com/catesforsenate,NaN
26,Alex Padilla,NaN,NaN,https://www.twitter.com/SenAlexPadilla
27,Mark Meuser,https://www.twitter.com/markmeuser,NaN,NaN
28,Michael Bennet,https://www.twitter.com/MichaelBennet,NaN,https://www.twitter.com/SenatorBennet
29,Joe O'Dea,https://www.twitter.com/ODeaForColorado,NaN,NaN
30,Frank Atwood,NaN,NaN,NaN
31,Richard Blumenthal,https://www.twitter.com/DickBlumenthal,NaN,https://www.twitter.com/SenBlumenthal
32,Leora Levy,https://www.twitter.com/LeoraLevyCT,NaN,NaN
33,Richard Blumenthal,https://www.twitter.com/DickBlumenthal,NaN,https://www.twitter.com/SenBlumenthal
34,Val Demings,https://www.twitter.com/valdemings,NaN,https://www.twitter.com/RepValDemings
